neuron,mean_still,mean_move,cohen_d,pval,auc,label,p_adj,sig,unit_name
19,5.033712105280908,5.37683949646895,-0.06634626467834227,0.04960129026954813,0.4983487457218931,,0.05284899379910188,False,<HDF5 object reference>
20,1.289778144867833,3.744614423086724,-0.6682347152044986,1.5232728530093188e-114,0.27835760151279126,suppressed,4.1948590875179706e-114,True,<HDF5 object reference>
21,1.5787187080023908,2.8421373366819505,-0.4050016942446668,1.711616892005035e-36,0.35904733756345925,suppressed,2.7113223333531087e-36,True,<HDF5 object reference>
22,0.6199721024550476,1.619550741114091,-0.41626785995982174,1.9687636232514473e-47,0.35969073415383357,suppressed,3.524086885620091e-47,True,<HDF5 object reference>
23,0.26775909502155426,1.0439474321711482,-0.451765830744103,9.253037561475156e-69,0.35138302318580494,suppressed,2.0198703945171374e-68,True,<HDF5 object reference>
24,3.4790295836379475,6.527343086407644,-0.601495745690221,4.8783628574702574e-73,0.3183452969320384,suppressed,1.0915336893589702e-72,True,<HDF5 object reference>
25,0.5085534885373543,1.073553610254877,-0.2995166944512445,2.980690466309956e-23,0.3987692131205995,,4.2344729640435084e-23,True,<HDF5 object reference>
26,0.5673004465225052,1.0375033275945058,-0.2475549397463996,3.0419554416109677e-16,0.431616817526867,,4.125075939760327e-16,True,<HDF5 object reference>
27,2.4065524393552415,4.0995554475242075,-0.4065670082648109,1.0085173609222173e-39,0.3791833747870079,suppressed,1.6715241444914527e-39,True,<HDF5 object reference>
28,1.0489042845851289,1.5594040415133774,-0.21613882988397398,7.490256550888436e-11,0.41605309382754296,,9.441943116965e-11,True,<HDF5 object reference>
29,1.4767939695606251,4.971727531981478,-0.7806412132393705,2.5361395579804855e-172,0.25127780586820364,suppressed,1.418653065245334e-171,True,<HDF5 object reference>
30,0.482226626260128,0.7671967193058473,-0.17541268004190982,2.65808556920612e-08,0.4540457519969371,,3.2148467357290234e-08,True,<HDF5 object reference>
31,1.099036539448714,5.853902743814103,-0.8402707632766634,2.267344816849522e-276,0.2100720007949753,suppressed,4.0585472221606446e-275,True,<HDF5 object reference>
32,1.7585860674747311,2.6896266455030573,-0.2990434812948673,1.8294261049090575e-19,0.40611915422812866,,2.499750173883369e-19,True,<HDF5 object reference>
33,2.2490682152145465,8.038240943776293,-0.9057079619943642,3.3407631150165576e-229,0.20996342236861718,suppressed,3.5176270446350814e-228,True,<HDF5 object reference>
34,1.3819655916925806,1.7678940881183827,-0.14777991910837943,2.045239144843834e-05,0.4454797105939225,,2.3170747273863692e-05,True,<HDF5 object reference>
35,0.7250879094989799,1.6255804405158047,-0.34735706088296187,2.1727706684592928e-36,0.38877846347643863,,3.4116311373176613e-36,True,<HDF5 object reference>
